query,chunk
"2.  ""Dumbledore explaining the Mirror of Erised and the Stone""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"3.  ""Bertie Bott's Every Flavor Beans vomit flavor""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"4.  ""Dumbledore's 'brain surprises even me' quote""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"5.  ""Dumbledore explaining why only Harry could retrieve the Stone""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"6.  ""Dumbledore ear wax bean""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"7.  ""Dumbledore's plan to protect the Stone from Voldemort""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"8.  ""Harry's conversation with Dumbledore about the Stone""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"9.  ""Dumbledore on Snape's protection of Harry""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"10. ""Why did Snape protect Harry Potter?""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"11. ""Extract about the Elixir of Life and the Mirror of Erised""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"12. ""Dumbledore and Harry discussing sweets""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"13. ""Dumbledore's clever idea to protect the Philosopher's Stone""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"14. ""Mirror of Erised only showing what you desire""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"15. ""Harry asking Dumbledore questions about the Stone""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"16. ""Dumbledore talking about his youth and Bertie Bott's""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"17. ""Dumbledore's toffee and ear wax bean experience""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"18. ""Madam Pomfrey limiting Harry's visiting time""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
"19. ""Dialogue about Snape and Harry's father""",". I
do believe he worked so hard to protect you this year because he felt that
would make him and your father even. Then he could go back to hating your
father’s memory in peace. . . .”
Harry tried to understand this but it made his head pound, so he stopped. “And sir, there’s one more thing . . .”
“Just the one?”
“How did I get the Stone out of the mirror?”
“Ah, now, I’m glad you asked me that. It was one of my more brilliant
ideas, and between you and me, that’s saying something. You see, only one
who wanted to find the Stone — find it, but not use it — would be able to get
it, otherwise they’d just see themselves making gold or drinking Elixir of
Life. My brain surprises even me sometimes. . . . Now, enough questions. I
suggest you make a start on these sweets. Ah! Bertie Bott’s Every Flavor
Beans! I was unfortunate enough in my youth to come across a vomit-
flavored one, and since then I’m afraid I’ve rather lost my liking for them —
but I think I’ll be safe with a nice toffee, don’t you?”
He smiled and popped the golden-brown bean into his mouth. Then he
choked and said, “Alas! Ear wax!”
Madam Pomfrey, the nurse, was a nice woman, but very strict. “Just five minutes,” Harry pleaded. "
Here are 20 unique user queries that could retrieve or refer to the provided document chunk:,"“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"1.  ""Who said 'Absolutely not' in Harry Potter?""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"2.  ""Dumbledore's visit to a sick character in Harry Potter""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"3.  ""Madam Pomfrey arguing with someone in bed""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"4.  ""Dialogue between Madam Pomfrey and a patient""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"5.  ""Harry Potter quote 'lying down and everything'""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"6.  ""Mention of Dumbledore being the headmaster in Harry Potter""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"7.  ""Conversation about letting Dumbledore in""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"8.  ""Madam Pomfrey telling someone they need rest""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"9.  ""Character arguing with Madam Pomfrey about resting""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"10. ""Quote including 'Absolutely not' and 'Madam Pomfrey'""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"11. ""Who is refusing to rest in this Harry Potter scene?""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"12. ""Text including 'quite different' in a Harry Potter context""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"13. ""A scene where someone is lying down in the hospital wing""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"14. ""Dialogue about who gets to visit a patient""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"15. ""Harry Potter dialogue where someone is being stubborn""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"16. ""Search for 'Madam Pomfrey' and 'headmaster'""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"17. ""Context of the phrase 'lying down and everything'""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"18. ""Find quotes related to rest and recovery in Harry Potter""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
"19. ""Dumbledore's authority as headmaster - examples""","“Absolutely not.”
“You let Professor Dumbledore in. . . .”
“Well, of course, that was the headmaster, quite different. You need rest.”
“I am resting, look, lying down and everything. Oh, go on, Madam
Pomfrey . ."
Here are 20 unique user queries that could retrieve or refer to the provided document chunk:,"“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"1.  ""Harry Potter Dumbledore sending the cloak""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"2.  ""Ron Hermione discuss Harry's father's cloak""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"3.  ""Quote: 'D'you think he meant you to do it?'""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"4.  ""Harry thinks Dumbledore gave him a chance""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"5.  ""Hermione reaction to the invisibility cloak""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"6.  ""Dumbledore's motives Harry Potter""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"7.  ""Harry, Ron, and Hermione discuss Dumbledore and the cloak""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"8.  ""Harry Potter Dumbledore 'funny man' quote""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"9.  ""Who sent Harry Potter the invisibility cloak?"" (While not directly answering, this leads to this discussion)","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"10. ""Invisibility cloak Dumbledore motives""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"11. ""Hermione's anger over Harry using the cloak""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"12. ""Ron's question about Dumbledore's intentions""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"13. ""What does Harry think of Dumbledore?""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"14. ""Discussion about the sender of Harry's father's cloak""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"15. ""Harry's interpretation of Dumbledore's actions""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"16. ""Quote: 'He's a funny man, Dumbledore.'""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
"17. ""Hermione's concern for Harry's safety and the cloak""","“D’you think he meant you to do it?” said Ron. “Sending you your father’s
Cloak and everything?”
“Well,” Hermione exploded, “if he did — I mean to say — that’s terrible
— you could have been killed.”
“No, it isn’t,” said Harry thoughtfully. “He’s a funny man, Dumbledore. I
think he sort of wanted to give me a chance."
